Name,Winrate
Aatrox,0.423
Ahri,0.508
Akali,0.454
Alistar,0.487
Amumu,0.500
Anivia,0.500
Annie,0.500
Ashe,0.519
Aurelion Sol,0.556
Azir,0.430
Bard,0.520
Blitzcrank,0.517
Brand,0.488
Braum,0.477
Caitlyn,0.497
Camille,0.499
Cassiopeia,0.497
Cho'Gath,0.517
Corki,0.431
Darius,0.513
Diana,0.500
Dr. Mundo,0.476
Draven,0.526
Ekko,0.487
Elise,0.491
Evelynn,0.471
Ezreal,0.458
Fiddlesticks,0.487
Fiora,0.541
Fizz,0.493
Galio,0.491
Gangplank,0.529
Garen,0.455
Gnar,0.496
Gragas,0.509
Graves,0.513
Hecarim,0.481
Heimerdinger,0.502
Illaoi,0.486
Irelia,0.457
Ivern,0.488
Janna,0.524
Jarvan IV,0.502
Jax,0.533
Jayce,0.459
Jhin,0.536
Jinx,0.529
Kai'Sa,0.494
Kalista,0.449
Karma,0.505
Karthus,0.546
Kassadin,0.498
Katarina,0.524
Kayle,0.543
Kayn,0.477
Kennen,0.515
Kha'Zix,0.506
Kindred,0.513
Kled,0.517
Kog'Maw,0.471
LeBlanc,0.525
Lee Sin,0.484
Leona,0.496
Lissandra,0.491
Lucian,0.513
Lulu,0.476
Lux,0.465
Malphite,0.477
Malzahar,0.555
Maokai,0.444
Master Yi,0.496
Miss Fortune,0.506
Mordekaiser,0.445
Morgana,0.484
Nami,0.520
Nasus,0.548
Nautilus,0.517
Neeko,0.489
Nidalee,0.537
Nocturne,0.527
Nunu & Willump,0.526
Olaf,0.519
Orianna,0.476
Ornn,0.476
Pantheon,0.529
Poppy,0.536
Pyke,0.499
Qiyana,0.521
Quinn,0.546
Rakan,0.534
Rammus,0.459
Rek'Sai,0.510
Renekton,0.488
Rengar,0.504
Riven,0.463
Rumble,0.501
Ryze,0.474
Sejuani,0.458
Shaco,0.485
Shen,0.512
Shyvana,0.454
Singed,0.488
Sion,0.490
Sivir,0.509
Skarner,0.568
Sona,0.492
Soraka,0.461
Swain,0.495
Sylas,0.492
Syndra,0.506
Tahm Kench,0.546
Taliyah,0.522
Talon,0.524
Taric,0.532
Teemo,0.479
Thresh,0.503
Tristana,0.497
Trundle,0.519
Tryndamere,0.490
Twisted Fate,0.500
Twitch,0.504
Udyr,0.429
Urgot,0.519
Varus,0.468
Vayne,0.501
Veigar,0.421
Vel'Koz,0.490
Vi,0.502
Viktor,0.465
Vladimir,0.495
Volibear,0.521
Warwick,0.506
Wukong,0.505
Xayah,0.495
Xerath,0.515
Xin Zhao,0.501
Yasuo,0.493
Yorick,0.523
Yuumi,0.455
Zac,0.507
Zed,0.520
Ziggs,0.482
Zilean,0.535
Zoe,0.514
Zyra,0.527
